# 1988-sutherland Micropipelines 插图裁剪规格(坐标单位:pt,原点页面左上,页从1起)
# 列: 输出名<TAB>页<TAB>x0<TAB>y0<TAB>x1<TAB>y1<TAB>备注
fig-01.png	2	348	662	482	688	图1 A Puzzle 九点谜题(扫描内图形,位图source-13上部)
fig-02.png	3	305	193	560	232	图2 Two Equivalent Transistors(位图source-21)
fig-03.png	4	55	511	290	627	图3 A Bundled Data Interface SENDER/RECEIVER(位图source-29)
fig-04.png	4	296	126	560	335	图4 Two-phase Bundled Data Convention 时序图(位图source-32上部)
fig-05.png	4	296	486	560	665	图5 Nonoverlapping Clocks 时序图(位图source-32下部)
fig-06.png	5	303	85	562	249	图6 Dynamic Muller C-Element(位图source-40上部)
fig-07.png	5	303	353	562	524	图7 Static Muller C-Element(位图source-40下部)
fig-08.png	6	42	70	292	194	图8 Muller C-Elements with Inverters(位图source-48)
fig-09.png	6	296	230	560	613	图9 Logic Modules for Events 模块符号(位图source-51等)
fig-10.png	7	68	530	556	692	图10 Control Circuit for a Micropipeline(位图source-59,图题嵌入图中)
fig-11.png	8	35	74	295	230	图11 Circuit for the Switch Symbol(位图source-67上部)
fig-12.png	8	42	479	552	611	图12 Event-Controlled Storage Elements(位图source-70上部)
fig-13.png	9	63	70	322	146	图13 Conventional D Flip-Flop(位图source-81上部)
fig-14.png	9	325	314	560	521	图14 Latches Used as Event-Controlled Storage Register(位图source-78)
fig-15.png	10	50	570	300	621	图15 Micropipeline without Processing(位图source-92上部)
fig-16.png	10	280	75	555	243	图16 A FIFO Circuit(位图source-89)
fig-17.png	11	66	569	496	656	图17 Micropipeline with Processing(图题嵌入图框内)
fig-18.png	11	66	428	540	560	图18 Decoder with Two Micropipeline Stages(图题嵌入图框内)
fig-19.png	12	32	58	292	334	图19 Decoder with Four Micropipeline Stages(位图source-111)
fig-20.png	13	55	40	340	397	图20 Micropipeline Multiplier Chip 芯片照片(位图source-119)
fig-21.png	14	40	53	296	352	图21 Ring-Buffer FIFO Control Logic(位图source-127)
fig-22.png	15	85	55	320	238	图22 Data Path for Sequential Normalizer(位图source-135)
fig-23.png	15	330	366	560	573	图23 Control Circuit for a Sequential Normalizer(位图source-138)
fig-24.png	17	300	58	570	221	图24 Memory Interface with Cache(位图source-151)
fig-25.png	18	40	42	300	235	图25 Memory Interface without Cache(位图source-159)
