fig-01.png	4	383	140	572	206	图1 共享存储模型 P-M-Q
fig-02.png	4	245	222	548	308	图2 记忆作为交互进程 P-M-Q+x/y/z通道
fig-03.png	4	245	311	548	407	图3 记忆作为分布式进程 P-[XYZ]-M-Q
fig-04.png	4	245	404	555	590	图4 移动电话网络 汽车+基站+控制
fig-05.png	7	75	456	352	550	图5 λ-演算归约 BEFORE/AFTER
fig-06.png	7	75	552	382	634	图6 CCS 交互 BEFORE/AFTER
fig-07.png	10	388	52	533	126	图7 Double 倍增进程 a-Double-b
fig-08.png	10	227	136	468	227	图8 π-演算交互 BEFORE/AFTER
fig-09.png	10	218	252	455	345	图9 λ-演算语法框
fig-10.png	10	218	349	533	483	图10 π-演算语法框
fig-11.png	10	218	485	470	632	图11 π-演算中的移动电话网络
